"","TSCT","SCAT_ID","PARALLEL_DIST","PERP_DIST_M","APPROX_N","VEG_TYPE","SUBSTRATE","Date","Weather","StartTime","EndTime","Obs1","CTR.Obs","Gastropods","Dist","Angles","Easting","Northing"
"1","10B3-2",409,11.7,0.5,"21-50",NA,"LL","22-May","Overcast","08:41:00","09:16:00","DT","AW",NA,96.13012015,272.981461219982,578995.109226952,4865662.28983051
"2","10B3-2",410,20.3,1.05,"21-50",NA,"moss","22-May","Overcast","08:41:00","09:16:00","DT","AW",NA,96.13012015,272.981461219982,578995.007281797,4865653.67286427
"3","10B3-2",411,21.3,0.13,"21-50",NA,"moss","22-May","Overcast","08:41:00","09:16:00","DT","AW",NA,96.13012015,272.981461219982,578995.978049334,4865652.72206966
"4","10B3-2",412,87.25,0.53,"21-50",NA,"moss","22-May","Overcast","08:41:00","09:16:00","DT","AW",NA,96.13012015,272.981461219982,579000.067402384,4865586.89566697
"5","10B3-3",415,18,0.53,"11-20","ferns","moss","22-May","Rain","09:54:00",NA,"EH","AW",NA,94.42986816,155.60626061384,578786.38798909,4865286.95140227
"6","10B3-3",416,22.75,0,"11-20","ferns","moss","22-May","Rain","09:54:00",NA,"EH","AW",NA,94.42986816,155.60626061384,578782.280919923,4865289.3958619
"7","10B3-6",419,80.2,0.2,NA,NA,"LL","22-May","Rain","11:27:00","11:57:00","DT","AW",NA,102.9271587,32.3004155104026,578545.896559933,4865989.68649844
"8","10B3-6",420,91.9,0.14,"21-50",NA,"LL","22-May","Rain","11:27:00","11:57:00","DT","AW",NA,102.9271587,32.3004155104026,578555.604396159,4865996.22588036
"9","10B3-6",421,91.2,0.36,"21-50",NA,"LL","22-May","Rain","11:27:00","11:57:00","DT","AW",NA,102.9271587,32.3004155104026,578555.279894828,4865995.42920044
"10","10B3-6",422,91.75,1.6,"21-50",NA,"LL","22-May","Rain","11:27:00","11:57:00","DT","AW",NA,102.9271587,32.3004155104026,578556.407391219,4865994.67497774
"11","10B3-6",423,92.4,0.24,"21-50",NA,NA,"22-May","Rain","11:27:00","11:57:00","DT","AW",NA,102.9271587,32.3004155104026,578556.23008136,4865996.17186157
"12","10B2-6",424,17.5,0,"21-50",NA,"moss","22-May","Rain","14:57:00","15:08:00","EH","AW",NA,83.5463943,47.9108378261682,584317.730009514,4866208.98679625
"13","9A1-1",425,3.85,0.35,"11-20",NA,"LL","23-May","Clear","08:46:00","09:00:00","DT","AW",NA,94.57801013,70.2239233973608,570216.631986122,4847399.50451442
"14","9A1-3",427,40.6,0.51,"21-50",NA,"LL","23-May","Clear","09:38:00","09:53:00","EH","AW",NA,101.651365,195.403424962468,570159.722908136,4848115.70776241
"15","9A1-6",428,79.4,0.25,"21-50",NA,"LL","23-May","Clear","10:40:00","10:53:00","DT","AW",NA,101.5332458,297.574563959694,569771.976066026,4847466.73483764
"16","9A3-1",429,98.95,0.46,"21-50",NA,"LL","23-May","Clear","12:07:00","12:22:00","EH","AW",NA,91.00549434,89.3704013915897,565677.547269217,4847407.93897138
"17","9A3-3",433,12.1,0.49,"21-50",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565893.98680248,4847973.1506295
"18","9A3-3",434,16.4,1.13,"21-50",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565897.288097827,4847970.32201694
"19","9A3-3",435,18.1,2.85,"51-100",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565900.844247976,4847972.78863327
"20","9A3-3",436,18.95,0.49,"21-50",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565899.787998904,4847969.50801779
"21","9A3-3",437,21.85,1.76,"21-50",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565903.44045817,4847969.87139268
"22","9A3-3",438,21.85,1.76,"21-50",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565901.568634343,4847966.89033992
"23","9A3-3",439,27.75,0.2,"21-50",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565907.607550817,4847965.41281232
"24","9A3-3",440,58.45,0.25,"21-50",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565933.367777815,4847948.70643016
"25","9A3-3",441,59.65,0.44,"21-50",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565934.283009857,4847947.9073993
"26","9A3-3",442,93.45,0.13,"21-50","piney things","LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565963.210999316,4847930.41636371
"27","9A3-4",443,10.8,1.23,"11-20",NA,"pine needles","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566157.226583361,4847824.31626647
"28","9A3-4",444,12.6,0.2,"21-50",NA,"pine needles","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566158.206414379,4847822.23664362
"29","9A3-4",445,13.8,1.04,"21-50",NA,"pine needles","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566159.83167685,4847822.81640383
"30","9A3-4",446,32.5,0.9,"21-50",NA,"LL","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566176.532920728,4847814.4034345
"31","9A3-4",447,44.47,1,"21-50",NA,"grass","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566187.307536631,4847809.18821139
"32","9A3-4",448,44.93,0,"11-20",NA,"grass","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566187.276715466,4847808.08791595
"33","9A3-4",449,49.4,0,"21-50","pine","pine needles","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566191.283769064,4847806.10690069
"34","9A3-4",450,81.1,0.23,"11-20",NA,"LL","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566219.598750167,4847791.8519105
"35","9A3-4",451,83.6,1,"21-50",NA,"LL","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566221.498582883,4847790.05370705
"36","9A3-4",452,84.7,0.54,"21-50",NA,"pine needles","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566223.16715614,4847790.94671505
"37","9A3-4",453,85.6,0.46,"11-20",NA,"pine needles","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566223.938491043,4847790.47613831
"38","9A3-4",454,91.25,0.4,"21-50",NA,"pine needles","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566228.976744267,4847787.91838452
"39","9A3-4",455,92.1,1.38,"21-50",NA,"LL","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566228.94985129,4847785.94603142
"40","9A3-4",456,96.35,0.18,"21-50",NA,"LL","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566233.291505899,4847785.13823488
"41","7B1-1",457,5.95,0.22,"21-50",NA,"LL","24-May","Clear","09:34:00","09:50:00","DT","AW",NA,102.4890238,84.4006606634794,542523.799500249,4929580.90014401
"42","7B1-1",458,8.6,0.41,"21-50",NA,"LL","24-May","Clear","09:34:00","09:50:00","DT","AW",NA,102.4890238,84.4006606634794,542524.247157942,4929583.51896103
"43","7B1-2",459,17.4,0.39,"21-50",NA,"LL","24-May","Clear","09:58:00","10:12:00","DT","AW",NA,103.0048543,89.4437477729193,542556.778942457,4929993.40296623
"44","7B1-2",460,41.9,0.43,"21-50",NA,"LL","24-May","Clear","09:58:00","10:12:00","DT","AW",NA,103.0048543,89.4437477729193,542556.97679721,4930017.90219996
"45","7B1-4",461,71.3,0.15,"51-100",NA,"LL","24-May","Clear","10:33:00","10:47:00","EH","AW",NA,94.64142856,321.434739151038,543088.655858963,4930045.43389334
"46","7B1-5",462,55.8,0.39,"21-50",NA,"LL","24-May","Clear","10:57:00","11:06:00","DT","AW",NA,97.9489663,220.030259271891,543221.524513458,4929702.81125668
"47","7B1-6",463,42.5,2.03,"21-50",NA,"LL","24-May","Clear","11:13:00","11:25:00","DT","AW",NA,100.895986,219.369317242366,542988.432044476,4929534.47220506
